user_id,City,User Longitude,User Latitude,restaurant,Resturant Longitude,Resturant Latitude,Categories,Special Diets,rating,restaurant_id
16,Jeddah,39.27939537,21.16767832,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,0
38,Jeddah,39.26207369,21.03671191,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,0
46,Jeddah,39.12778397,21.17533345,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.9,0
72,Jeddah,39.24062734,21.63060605,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.7,0
90,Jeddah,39.36472048,21.86541858,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",5,0
101,Jeddah,39.19902088,21.49958159,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
102,Jeddah,39.23985682,21.47489391,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.4,0
113,Jeddah,39.11662691,21.17760195,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.3,0
135,Jeddah,39.21122058,21.64315358,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.8,0
183,Jeddah,39.1387498,21.88506494,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.1,0
205,Jeddah,39.27728945,21.08216081,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.7,0
247,Jeddah,39.15731173,21.17637055,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.5,0
252,Jeddah,39.26986418,21.68790235,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.9,0
271,Jeddah,39.26437224,21.56731898,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.2,0
277,Jeddah,39.19497856,21.78073505,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.3,0
284,Jeddah,39.32053557,21.27000823,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.6,0
285,Jeddah,39.36628316,21.48165013,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",1.3,0
354,Jeddah,39.13169992,21.4672737,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.6,0
372,Jeddah,39.24333453,21.39466132,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.5,0
392,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",1.4,0
394,Jeddah,39.16259338,21.87552588,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,0
395,Jeddah,39.37433829,21.15891647,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",1.4,0
407,Jeddah,39.35659934,21.04123223,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",2,0
410,Jeddah,39.37240543,21.36394021,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.1,0
411,Jeddah,39.12328414,21.26207951,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.7,0
433,Jeddah,39.16161288,21.46302673,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.2,0
451,Jeddah,39.36412915,21.38015988,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.5,0
483,Jeddah,39.34404714,21.73706019,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.2,0
494,Jeddah,39.21801107,21.28717628,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",1.2,0
1543,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,0
1544,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,0
1590,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
1591,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
1592,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,0
1608,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.9,0
1609,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",5,0
1610,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",5,0
1714,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.7,0
1715,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.9,0
1716,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.6,0
1777,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.3,0
1778,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.3,0
1779,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.2,0
1801,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.2,0
1821,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",2.1,0
1844,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4,0
1847,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3,0
1852,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.6,0
1856,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
1861,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,0
1863,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,0
1866,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,0
1868,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.9,0
1874,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.5,0
1878,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
1879,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.9,0
1882,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.5,0
1885,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
1887,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.9,0
1889,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.3,0
1891,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.5,0
1893,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.7,0
1899,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.3,0
1901,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,0
1904,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.2,0
1907,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4.4,0
1909,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3,0
1910,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4,0
1914,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.4,0
1927,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.9,0
1932,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4,0
1933,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",4,0
1943,Jeddah,39.28338755,21.33450779,Khayal Restaurant,39.14106006,21.60958324,"Barbecue, Middle Eastern","Vegetarian Friendly, Vegan Options",3.8,0
