user_id,business_id,rating
VvKepoJdgaLfc1nUsJE9ZQ,JcP1z6eZBgTIcxWlyxSw0g,5.0
TmdJhSSDABdUwuci8HhbBw,cXSyVvOr9YRN9diDkaWs0Q,3.0
qjfMBIZpQT9DDtw_BWCopQ,KhBUg5QhBYuK8RZAe5gDMQ,4.0
zEiYkOxDzMEQCAHzEB3Yyw,ompDR5sUDpoI6gnTldmneQ,3.0
JjX-bYG0O5B21fklcZhmog,PGDRRyplRKHAixBZSBLseA,5.0
EryvaUTsMnk26eiauFWapQ,OcrcitVhcUKR11Rr4GCrCw,5.0
yNEuxv_oq2w2bVkMy7Gz6A,Qe7fZel3Rw6yHty-gCBExA,4.0
hi4IXBuvou2-KRCf1_-cSQ,TfcpJBiFNnDaochnmp4M2Q,5.0
i3tYR78tEIcAzeynP7Bu0A,-kY_HDP7IMvGl-kBIZVU4A,5.0
Q4BT5uUNY5WTJ1EgpXO0Yg,bCIZeggW02uPdz2lobSjUA,1.0
TmdJhSSDABdUwuci8HhbBw,DRr5xdfHtqgWfhmdTU1B8Q,3.0
GVm9PEWn1epQygsugMKppg,VOEN8f9WEysinBsLqbiVqg,1.0
bYENop4BuQepBjM1-BI3fA,yHQVSV0OEaKuWgJZKCl2bQ,4.0
E5MwIwYX-bJnslhVMPko3w,oJ4ik-4PZe6gexxW-tSmsw,4.0
gb8yx3W3OsQBbz2j7sE0TQ,5Xz48kuC5cP7mY9DoBX10Q,4.0
JQvMNDFsvT_njvRgWUir3A,AY1SyySRyTnBwBdf7qfGxQ,5.0
JnGtgOPpkjyWOvWM0SYEXg,11zDCUJyST50gMR4xVeAhg,4.0
qjfMBIZpQT9DDtw_BWCopQ,Yh_KhyVD6ZBwsIQQ1wSUpw,2.0
kqsraGluuND01gdLLOo4Ng,C1D2o1VV2TDjpkG3BsdseA,4.0
X7iSWCaekeMT9nW87NH_6w,zXgSqLVumgxM_e5OgWfUTw,5.0
Z6ILox89dgOtv8eLGjCLvw,-sSGKR1V1oBm7BJicIXozg,2.0
JQvMNDFsvT_njvRgWUir3A,vA5MHe9LqNQcp8k_CaFkHg,5.0
0sAUF_yzU7nlac8Hg-FUvg,Q_4XtUDxWDasRhORDaC-jw,3.0
l2JpmmYO-5OXSYehBvTfcQ,XwPKw3mw214qDxJFfX-pgg,5.0
Z9n12BRNSEeJBhJ9Z8KgnQ,F8yozE3NWnImNApHO347gQ,5.0
PbGvkCiAh54gAIaXiAbsDg,2KIDQyTh-HzLxOUEDqtDBg,5.0
amcj6b_QS6fvhhfTbzWF5Q,zsDjnBHyJsYfkdry96x75g,4.0
QrG7OGc0GKP9qLVPHMqftw,QvjY9esYNRMe_5kvT6TC5g,5.0
xsZ_fxVP_jdNrIe--75hog,j99PtxlKTW_u5alE4jiqHQ,5.0
UsNEqtxZfX6LiUWSVEF_pg,39h2Z2P3WXTql6m42HGkOA,5.0
TxrljvgguFghGdKpO1uqSA,lj-E32x9_FA7GmUrBGBEWg,4.0
bYENop4BuQepBjM1-BI3fA,pMdU8zqjrmHn2LQvlF9rxA,4.0
n1dDZfXcqw2A3iNwU5xlzg,EtKSTHV5Qx_Q7Aur9o4kQQ,2.0
J6W0vJOBXqX-5BUpEOpCYg,nRKndeZLQ3eDL10UMwS2rQ,5.0
b7ceiS47nxb4p92JAR8iqw,p24n1vScP_MHxJVPrao-jA,4.0
wQebFZNqAF1j0rXWU881cg,wZhGuW7vQpfhxeEvLHkTrA,4.0
UZ6YOaTiZ1lTZWKASIkVuA,29YqJwOGEuAWqlHZxMc1OA,3.0
bYENop4BuQepBjM1-BI3fA,pKxOXAuC1i8mnUjxVW2tnQ,5.0
n1dDZfXcqw2A3iNwU5xlzg,1OgRJcJ2tsfkZn5tCjhNKg,3.0
qjfMBIZpQT9DDtw_BWCopQ,ki4fAKj4ZN0cgAmw9L8PBg,3.0
PIHvbaM4o_FdjHWgiEMrrA,yDHINEt7By47My7x4Mb8oA,5.0
t9Qrz3zLtOnlmEeKfDCtFA,X-IWPL5GY6ejEciBGMVK9A,4.0
1fPkyfWFyp3NkxLi80ZswA,WRMlifrYLjRY8q5YUUbfZA,5.0
qjfMBIZpQT9DDtw_BWCopQ,UakVMT3xrpbFB2pHdxPjnw,3.0
5jMVOTXxWDoGx4iO9q2EPA,jULIPydhMj18KOI5OHTwfA,5.0
TIrOT3y33xydiOnNSqDvOA,QVpQ_-e8t-ZX7man4ryCEQ,5.0
_9NIhIgbq9RFDvq1j0rp1g,evZKyAZ4UePe8RLPzBDcbg,4.0
TIrOT3y33xydiOnNSqDvOA,6kAXOzE7fqaBZINQV_-_mg,3.0
iePuQM6awW0l3Rysrxc5ow,2KIDQyTh-HzLxOUEDqtDBg,5.0
tWEq9oSJNGAPNlZEcTngdA,_E0WPHfJEYmwOUCAj-Jq1A,4.0
dgTsbTlRAu6uW_beyAgVhg,741j8hEICpMzo1N4guth2g,5.0
oNDXWIyXF80PyflNxT3Vjg,Hxt8qo2hEraEbxEO9k4TVA,5.0
bYENop4BuQepBjM1-BI3fA,QrO4-F28JK4mQLP3eDbQ0A,4.0
bYENop4BuQepBjM1-BI3fA,zVoxVPHEt11_0GzqNuT2ZQ,1.0
4527cmLDVO3SRrkjs7egxg,ZD7_emi7fkJLFRwP2p09vA,4.0
SiBq_6NbgRim-3bDVXtAbg,vFpbUcVAXxrSz5mFIzKbyw,4.0
i3tYR78tEIcAzeynP7Bu0A,MbzgGsMQpGyVrUJXi_Jw0Q,4.0
FmlVHK-1iEt9VE0XhjCBYQ,bsRJY9hRr_p3PNZnxCqbjw,2.0
0KhOHZy_otZGqWITada2iQ,6I783JQmStWKpt9LJydQPw,5.0
5X1KyYSUsomDC7BK1GuiZw,QlI4_BHwxb5UplGwd4vE0w,5.0
Zaqw5-SxdGgxo4nCxMLwhw,HIP3cUb0T8-0W8ZNmcMUvw,5.0
9AgCFZrBV4iTcNPImMe_Ug,KP5OncF2jhT7_J1phHPPww,5.0
t9Qrz3zLtOnlmEeKfDCtFA,7ZAIFmz5fBaCvCGXrJZBkg,5.0
l2JpmmYO-5OXSYehBvTfcQ,g7iNHUin9RzSfaJBY7Xuew,5.0
7hGiFC9LwdtsqF3DnkdMtQ,dYYkzkiAQoOtRjdR0kcspw,5.0
yNEuxv_oq2w2bVkMy7Gz6A,vSQPjQYfMDBRS3bQ15zlGA,4.0
n1dDZfXcqw2A3iNwU5xlzg,sdWuLh-auc0nC2Jy6_26AQ,4.0
qjfMBIZpQT9DDtw_BWCopQ,WoFttPbJRti49sXBgOeIBQ,3.0
bYENop4BuQepBjM1-BI3fA,Z90LhF6RqwI4o72V2elP6w,4.0
L7cSC0zxOIzeE8utsLxuSQ,26M-3o8bL-9MWAWKk3yjDQ,5.0
DIPPatKWQp9r8moyi1iB6w,D73evJ9PZKxO3E5TaThe3w,5.0
bYENop4BuQepBjM1-BI3fA,vuAI70USd3my2Kb9_9zajw,4.0
l2JpmmYO-5OXSYehBvTfcQ,YPnksHT2DQA0AhcxP6udxw,4.0
l2JpmmYO-5OXSYehBvTfcQ,IazLGcO9aggJnMMa_5UO1Q,5.0
GsgJsNf0ZvBaw5AqccSdcA,f82dhKNiUXsDVPMLqKYiIQ,5.0
5OqTBb40jk8FMEIkgYyGsg,TfcdLs2Re40wIz6UmYpaAQ,4.0
VgzqFRYFpymYEtQDJoEwuw,tqc44WEwLNpESFFtQOzPiQ,2.0
ZfPAdx0GDyz4bAoIOY3diA,gknnQ0ARvRCdOjpIZ5UPpQ,5.0
JXYL85tq8ELFhZBMm5YRTQ,45tvAZaoMo0VhsJvPHf9sw,5.0
en5qEaJqGeGTgGri3p8I1w,x975oi4VWOxHJWE6dwSPzw,3.0
39LJlMKpR7lUOnozeQHS8Q,wFES5bGDiPANW13hNHnXOQ,5.0
UsNEqtxZfX6LiUWSVEF_pg,yeHLiKNp0hyR-ig4M6us-w,5.0
n1dDZfXcqw2A3iNwU5xlzg,7mpYTDb24SywNMRn3yeakQ,3.0
7y0ijKRYM4MieYX3xRKvWw,A9rVxmIBtHZRvNhbBaGAWg,5.0
QiTswK0qYfWh3MCGngbjoQ,ZyOqGKdr5JetY4jgD_UoGw,4.0
C-Nm1SRfZOGlG31H1ML2hw,D73evJ9PZKxO3E5TaThe3w,4.0
gEUNZBI82fSsregGy9LzdA,-ATiAtTikuGuqvaW2O6tNA,3.0
7_ijlnBDn4_Qolsk6rP43A,9uHEhLKTVXATCt7JSvUsCg,5.0
WZ4vEAuJdBgHrnIZlBQLig,WnOqsDmuiXbOWL2b6CSbBw,5.0
Mnu1nKzmKw6lpEb7V-LB9g,Q29COlGLE05VZhQ1ZtxIDg,5.0
PbGvkCiAh54gAIaXiAbsDg,ZiQiMlvgk19GrEEkN9kyRA,5.0
L6Lw4-DY4pj7XEYGXZBcKQ,I1h0GRYp86eX-XqwVXsSGA,5.0
yNEuxv_oq2w2bVkMy7Gz6A,HTqXI5S2XcSlh_ylx9sE6g,5.0
WZ4vEAuJdBgHrnIZlBQLig,ARgidflSXPHj7uhK-Y7hwA,5.0
Fa2-VD8cqcn98vqciVn3Gw,ixPTo6Hum7nNZ7A4VPhTXg,3.0
P35GHswUEIMl0oDNSXF-rA,0JoB3ThhI-DS78-1Ks1EUQ,4.0
30tmC3JzRco9OLVGKZi8VQ,89COhCW-cAD5-fTXPfXYTw,5.0
bYENop4BuQepBjM1-BI3fA,zVoxVPHEt11_0GzqNuT2ZQ,2.0
OhEG7ISV08fDeKJH4rZH9w,oThWInL6gUCt2d98fSIAfA,3.0
eixgvJgG3-Z3lLW1_XeDcQ,uqdV-d4Jo7xYmRRze73iPg,4.0
j6kqcJcezQ_x3HkY5P97Vw,oY-YKxfE2Wjq51P16YZ6Cw,5.0
qjfMBIZpQT9DDtw_BWCopQ,L-YdO_NODKXXT3bkS0nUpg,5.0
JQvMNDFsvT_njvRgWUir3A,dBCNUSbz5-8nQNrxWo5deg,5.0
xjcwluh9jVuPUKq-Q8jLvQ,kSQNBSWTLlo-SwR6IcpvHA,5.0
L4FuYb4xcNDRGsY--K4qiQ,pSmOH4a3HNNpYM82J5ycLA,5.0
gonxIYdutkuwi0vpVJKQQw,nVfkNZLElDdhqWcnaDPtPQ,1.0
qjfMBIZpQT9DDtw_BWCopQ,eWGdkt9fdwg7aKboaZIVQQ,5.0
UXqSb-zGaTdNnrcu7xl7vA,71q2UD1A7KL2q4AA8mPobQ,3.0
bbPl-oSG4eLJL1uWupxiwg,EtKSTHV5Qx_Q7Aur9o4kQQ,4.0
-PKqpPxTS_u3_bHFf8Daow,sr-5EY6bmp4jINhea06MjA,2.0
h3F0U0gt00vDCFFDuantXQ,W3pOGK9qIZJbA6CS0HRNcQ,4.0
JQvMNDFsvT_njvRgWUir3A,tJPaPZwRqFmDSEc8VEx9hA,5.0
-2zeaby7CmyAb6AIjX0cmw,3_o9lyZeZH6ykGqcIn7W5g,5.0
